iter	RMSE
0	0.3938404899
1	0.3891436431
2	0.3842928882
3	0.3796383493
4	0.3751780179
5	0.3706291768
6	0.3660809417
7	0.3615157218
8	0.357117511
9	0.3529876731
10	0.3489107459
11	0.3450158834
12	0.3414436648
13	0.3375217398
14	0.3340118961
15	0.3302991747
16	0.3269357337
17	0.3237388501
18	0.3201082225
19	0.3167154977
20	0.3136891532
21	0.3104592383
22	0.307318313
23	0.304317994
24	0.3012516475
25	0.2982314929
26	0.2952734702
27	0.292540713
28	0.2894503864
29	0.2867597605
30	0.2839841535
31	0.2812327765
32	0.2785592841
33	0.2759255868
34	0.2734372338
35	0.2708493112
36	0.2683740598
37	0.2659198796
38	0.263695782
39	0.2616803567
40	0.2594957193
41	0.2572730685
42	0.2551396047
43	0.2528969793
44	0.2506377321
45	0.2485134878
46	0.2464465192
47	0.2445146975
48	0.2424546602
49	0.2404594196
50	0.2384237384
51	0.2365577344
52	0.2347928058
53	0.2329283243
54	0.2309708131
55	0.2293172325
56	0.2274826151
57	0.2257460733
58	0.2241825602
59	0.2226677637
60	0.2210153801
61	0.2193634955
62	0.2178075468
63	0.2163687034
64	0.2149447976
65	0.2135747859
66	0.2120886055
67	0.2107354362
68	0.209493486
69	0.2080613903
70	0.2067506805
71	0.2054711798
72	0.204214693
73	0.2030730204
74	0.2019145071
75	0.2005535614
76	0.199234852
77	0.1980722403
78	0.1968842155
79	0.195678522
80	0.1944393435
81	0.1933952172
82	0.1922904833
83	0.1911058004
84	0.1901593069
85	0.1890005816
86	0.1881017535
87	0.1871768565
88	0.1861449294
89	0.185327407
90	0.1844222646
91	0.1835948571
92	0.1826124282
93	0.1818678903
94	0.1809941983
95	0.1801245438
96	0.1793613698
97	0.1784797864
98	0.1777331262
99	0.1769282396
100	0.1761592027
101	0.1753723
102	0.1746641951
103	0.17381516
104	0.173119467
105	0.1724387984
106	0.1715974455
107	0.1708040388
108	0.1701444718
109	0.1694890015
110	0.1688072923
111	0.1682638899
112	0.1676216756
113	0.1669917085
114	0.1662773381
115	0.1656708628
116	0.1651279503
117	0.164618815
118	0.1640078363
119	0.1634351021
120	0.1628227552
121	0.1621506904
122	0.1615598962
123	0.1609996372
124	0.1604981213
125	0.159934069
126	0.1595314808
127	0.1590142371
128	0.1585227232
129	0.1580324272
130	0.1575231583
131	0.1569623568
132	0.1565057857
133	0.1560581871
134	0.1555547949
135	0.1551187954
136	0.1547361092
137	0.1543390388
138	0.1539068902
139	0.1534980482
140	0.153031099
141	0.1526191028
142	0.1521552358
143	0.1517794517
144	0.1514133292
145	0.1509717931
146	0.1506363104
147	0.1502740639
148	0.1498796139
149	0.1495505792
150	0.149193753
151	0.148800224
152	0.1484699205
153	0.1480717572
154	0.1477769249
155	0.14735747
156	0.1470098539
157	0.146634597
158	0.1464107738
159	0.1461161132
160	0.1458262654
161	0.1455677159
162	0.145231623
163	0.1449368016
164	0.1445411885
165	0.144304649
