iter	Passed	Remaining
0	2	11180
1	4	10439
2	6	10673
3	8	10463
4	10	10497
5	12	10384
6	14	10283
7	16	10255
8	18	10204
9	20	10149
10	22	10130
11	24	10085
12	26	10127
13	28	10196
14	30	10173
15	32	10164
16	34	10172
17	36	10217
18	39	10284
19	42	10479
20	44	10514
21	46	10468
22	48	10455
23	50	10414
24	52	10377
25	54	10390
26	56	10375
27	58	10439
28	60	10438
29	62	10421
30	64	10391
31	66	10399
32	69	10439
33	71	10454
34	74	10559
35	76	10554
36	78	10517
37	80	10505
38	82	10487
39	84	10459
40	86	10446
41	88	10500
42	91	10506
43	93	10490
44	95	10463
45	97	10464
46	99	10456
47	101	10433
48	103	10407
49	105	10451
50	107	10442
51	109	10420
52	111	10402
53	113	10393
54	115	10376
55	117	10365
56	119	10354
57	121	10371
58	123	10361
59	125	10350
60	127	10334
61	129	10336
62	131	10340
63	133	10334
64	136	10350
65	138	10347
66	140	10346
67	142	10350
68	144	10350
69	146	10334
70	148	10336
71	150	10334
72	153	10340
73	155	10335
74	157	10348
75	159	10347
76	161	10332
77	163	10323
78	165	10305
79	167	10323
80	169	10319
81	171	10307
82	173	10297
83	175	10280
84	177	10268
85	179	10263
86	181	10254
87	183	10257
88	185	10247
89	187	10242
90	189	10231
91	191	10227
92	193	10215
93	195	10206
94	197	10194
95	199	10199
96	201	10194
97	203	10197
98	205	10188
99	207	10180
100	209	10167
101	211	10158
102	213	10149
103	215	10167
104	218	10176
105	220	10169
106	222	10153
107	223	10143
108	225	10133
109	227	10121
110	229	10106
111	231	10111
112	233	10098
113	235	10085
114	237	10073
115	238	10060
116	240	10046
117	242	10036
118	244	10025
119	246	10031
120	248	10031
121	250	10018
122	252	10006
123	254	9992
124	255	9979
125	257	9967
126	259	9954
127	261	9941
128	263	9962
129	265	9948
130	267	9937
131	269	9928
132	270	9915
133	272	9902
134	274	9891
135	276	9879
136	278	9889
137	280	9878
138	282	9864
139	283	9851
140	285	9840
141	287	9828
142	289	9817
143	290	9803
144	292	9796
145	294	9805
146	296	9792
147	298	9783
148	300	9769
149	301	9756
150	303	9745
151	305	9732
152	306	9721
153	308	9708
154	310	9711
155	312	9703
156	314	9692
157	315	9679
158	317	9667
159	319	9657
160	321	9649
161	322	9642
162	325	9652
163	327	9651
164	329	9644
165	330	9636
166	332	9631
167	334	9629
168	336	9628
169	338	9621
170	340	9628
171	343	9635
172	345	9630
173	347	9630
174	348	9622
175	351	9621
176	353	9619
177	355	9619
178	357	9619
179	358	9608
180	360	9597
181	362	9583
182	363	9572
183	365	9566
184	367	9553
185	368	9543
186	370	9532
187	372	9531
188	374	9522
189	375	9511
190	377	9499
191	378	9487
192	380	9482
193	382	9478
194	384	9467
195	385	9458
196	388	9462
197	389	9455
198	391	9447
199	393	9438
200	395	9432
201	396	9424
202	398	9419
203	400	9418
204	402	9415
205	404	9422
206	406	9418
207	408	9414
208	410	9411
209	412	9406
210	414	9398
211	415	9388
212	417	9376
213	418	9365
214	420	9357
215	422	9346
216	423	9338
217	425	9328
218	426	9317
219	428	9305
220	429	9295
221	431	9283
222	432	9272
223	434	9261
224	436	9256
225	437	9249
226	439	9243
227	441	9238
228	443	9233
229	445	9229
230	446	9222
231	448	9217
232	450	9210
233	452	9208
234	453	9199
235	455	9191
236	456	9181
237	458	9171
238	459	9161
239	461	9151
240	462	9142
241	464	9134
242	466	9128
243	468	9122
244	469	9114
245	471	9105
246	472	9097
247	474	9089
248	475	9079
249	477	9070
250	478	9061
251	480	9052
252	482	9048
253	483	9040
254	485	9030
255	486	9021
256	488	9014
257	490	9006
258	491	8997
259	493	8988
260	494	8979
261	495	8969
262	497	8959
263	499	8955
264	500	8948
265	502	8941
266	504	8934
267	505	8927
268	507	8919
269	508	8912
270	510	8904
271	511	8896
272	513	8887
273	514	8881
274	516	8872
275	517	8865
276	519	8855
277	520	8845
278	522	8836
279	523	8827
280	525	8818
281	526	8811
282	528	8803
283	529	8798
284	531	8789
285	532	8783
286	534	8781
287	536	8773
288	537	8763
289	539	8755
290	540	8748
291	542	8741
292	543	8734
293	545	8730
294	547	8724
295	548	8717
296	550	8710
297	551	8702
298	553	8695
299	554	8687
300	556	8680
301	557	8674
302	559	8667
303	560	8662
304	562	8657
305	563	8650
306	565	8644
307	567	8638
308	568	8635
309	570	8627
310	571	8620
311	573	8615
312	575	8614
313	577	8616
314	579	8615
315	581	8616
316	582	8612
317	584	8609
318	586	8606
319	588	8602
320	589	8597
321	591	8591
322	593	8592
323	595	8596
324	597	8591
325	598	8585
326	600	8577
327	601	8570
328	603	8561
329	604	8553
330	605	8544
331	607	8537
332	610	8552
333	612	8556
334	614	8550
335	615	8543
336	616	8536
337	618	8528
338	619	8521
339	621	8515
340	622	8508
341	624	8510
342	627	8515
343	629	8513
344	630	8508
345	632	8505
346	633	8501
347	635	8494
348	636	8488
349	638	8481
350	640	8482
351	642	8486
352	644	8483
353	645	8477
354	647	8470
355	648	8465
356	650	8458
357	651	8451
358	653	8445
359	655	8443
360	657	8445
361	659	8447
362	661	8446
363	663	8444
364	664	8441
365	666	8435
366	667	8429
367	669	8422
368	671	8422
369	673	8426
370	675	8426
371	676	8421
372	678	8416
373	679	8410
374	681	8403
375	682	8397
376	684	8391
377	685	8385
378	688	8391
379	690	8393
380	692	8392
381	694	8390
382	695	8387
383	697	8385
384	698	8378
385	700	8372
386	702	8372
387	704	8373
388	706	8373
389	707	8367
390	709	8362
391	710	8355
392	712	8349
393	713	8343
394	715	8337
395	716	8332
396	718	8334
397	721	8340
398	722	8336
399	724	8333
400	726	8329
401	727	8325
